Filter Name ; Dimension ; Image Size ; CPU(12) (s) ; GPU (s) ; CPU/GPU Speed Ratio ; RMS Error ; RMS Relative ; Test Passed ; Run Times ; Comments
GenericMultiResolutionPyramidImageFilter ; 3 ; 256x256x256 ; 0.462865 ; 0.513461 ; 0.901461 ; 0.00100802 ; 9.16573e-07 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 256x256x256 ; 0.466866 ; 0.557004 ; 0.838174 ; 0.00100802 ; 9.16573e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 256x256x256 ; 0.444381 ; 0.490407 ; 0.906146 ; 0.00100802 ; 9.16573e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 512x512x256 ; 2.23242 ; 1.46204 ; 1.52692 ; 0.000914718 ; 1.28674e-06 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 512x512x256 ; 2.19252 ; 1.46862 ; 1.49291 ; 0.000914718 ; 1.28674e-06 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 512x512x256 ; 2.2275 ; 1.42701 ; 1.56095 ; 0.000914718 ; 1.28674e-06 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 512x512x256 ; 2.10874 ; 1.40519 ; 1.50068 ; 0.000413438 ; 5.81447e-07 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 512x512x256 ; 2.09203 ; 1.39361 ; 1.50116 ; 0.000413438 ; 5.81447e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 512x512x256 ; 2.1952 ; 1.40401 ; 1.56352 ; 0.000413438 ; 5.81447e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(On)
RecursiveGaussianImageFilter ; 1 ; 512 ; 5.36442e-05 ; 0.166046 ; 0.000323069 ; 8.90044e-07 ; 1.45186e-05 ; Yes ; 1 ; none
RecursiveGaussianImageFilter ; 2 ; 256x256 ; 0.000799179 ; 0.189272 ; 0.00422239 ; 9.42724e-07 ; 3.77426e-05 ; Yes ; 1 ; none
RecursiveGaussianImageFilter ; 3 ; 100x100x100 ; 0.006284 ; 0.161829 ; 0.038831 ; 4.46082e-08 ; 4.95704e-05 ; Yes ; 1 ; none
RecursiveGaussianImageFilter ; 3 ; 115x157x129 ; 0.0128381 ; 0.16302 ; 0.078752 ; 1.23581e-07 ; 7.19231e-05 ; Yes ; 1 ; none
RecursiveGaussianImageFilter ; 3 ; 256x256x256 ; 0.0514045 ; 0.199588 ; 0.257553 ; 1.74362e-07 ; 0.000191644 ; Yes ; 1 ; none
RecursiveGaussianImageFilter ; 3 ; 512x512x256 ; 0.129491 ; 0.316123 ; 0.409622 ; 1.10519e-05 ; 0.00566148 ; Yes ; 1 ; none
SmoothingRecursiveGaussianImageFilter ; 2 ; 256x256 ; 0.00140476 ; 0.177246 ; 0.0079255 ; 7.21902e-05 ; 1.83639e-06 ; Yes ; 1 ; none
SmoothingRecursiveGaussianImageFilter ; 3 ; 100x100x100 ; 0.0188136 ; 0.163118 ; 0.115338 ; 6.97473e-05 ; 6.31844e-08 ; Yes ; 1 ; none
SmoothingRecursiveGaussianImageFilter ; 3 ; 115x157x129 ; 0.0377729 ; 0.170906 ; 0.221015 ; 9.44056e-05 ; 1.65144e-07 ; Yes ; 1 ; none
SmoothingRecursiveGaussianImageFilter ; 3 ; 256x256x256 ; 0.157005 ; 0.232311 ; 0.675838 ; 0.000611691 ; 5.59192e-07 ; Yes ; 1 ; none
SmoothingRecursiveGaussianImageFilter ; 3 ; 512x512x256 ; 0.671934 ; 0.515412 ; 1.30368 ; 0.0110684 ; 2.1618e-05 ; Yes ; 1 ; none
BSplineDecompositionImageFilter ; 1 ; 512 ; 4.29153e-05 ; 0.162803 ; 0.000263603 ; 1.87167e-06 ; 1.03365e-07 ; Yes ; 1 ; none
BSplineDecompositionImageFilter ; 2 ; 256x256 ; 0.00142717 ; 0.163999 ; 0.00870235 ; 1.0356e-05 ; 2.20233e-07 ; Yes ; 1 ; none
BSplineDecompositionImageFilter ; 3 ; 100x100x100 ; 0.0299578 ; 0.167442 ; 0.178914 ; 0.000393193 ; 3.3836e-07 ; Yes ; 1 ; none
BSplineDecompositionImageFilter ; 3 ; 115x157x129 ; 0.0772953 ; 0.175141 ; 0.441331 ; 0.00022202 ; 3.66918e-07 ; Yes ; 1 ; none
BSplineDecompositionImageFilter ; 3 ; 256x256x256 ; 1.05699 ; 0.240368 ; 4.39736 ; 0.000359814 ; 3.19561e-07 ; Yes ; 1 ; none
BSplineDecompositionImageFilter ; 3 ; 512x512x256 ; 4.38528 ; 0.375697 ; 11.6724 ; 0.00026381 ; 3.70549e-07 ; Yes ; 1 ; none
CastImageFilter ; 1 ; 512 ; 0.000255108 ; 0.000838995 ; 0.304064 ; 0 ; 0 ; Yes ; 1 ; none
CastImageFilter ; 2 ; 256x256 ; 0.000204563 ; 0.0010891 ; 0.187828 ; 0 ; 0 ; Yes ; 1 ; none
CastImageFilter ; 3 ; 100x100x100 ; 0.000972986 ; 0.00391436 ; 0.248569 ; 0 ; 0 ; Yes ; 1 ; none
CastImageFilter ; 3 ; 115x157x129 ; 0.0014565 ; 0.00782824 ; 0.186057 ; 0 ; 0 ; Yes ; 1 ; none
CastImageFilter ; 3 ; 256x256x256 ; 0.00855088 ; 0.0471942 ; 0.181185 ; 0 ; 0 ; Yes ; 1 ; none
CastImageFilter ; 3 ; 512x512x256 ; 0.0314133 ; 0.177538 ; 0.176939 ; 0 ; 0 ; Yes ; 1 ; none
ShrinkImageFilter ; 1 ; 512 ; 0.000119686 ; 0.000608683 ; 0.196631 ; 0 ; 0 ; Yes ; 1 ; none
ShrinkImageFilter ; 2 ; 256x256 ; 0.000141859 ; 0.00099349 ; 0.142789 ; 0 ; 0 ; Yes ; 1 ; none
ShrinkImageFilter ; 3 ; 100x100x100 ; 0.00048995 ; 0.00154305 ; 0.317522 ; 0 ; 0 ; Yes ; 1 ; none
ShrinkImageFilter ; 3 ; 115x157x129 ; 0.000822306 ; 0.00190377 ; 0.431935 ; 0 ; 0 ; Yes ; 1 ; none
ShrinkImageFilter ; 3 ; 256x256x256 ; 0.00375819 ; 0.00837326 ; 0.448833 ; 0 ; 0 ; Yes ; 1 ; none
ShrinkImageFilter ; 3 ; 512x512x256 ; 0.0139616 ; 0.0286195 ; 0.487833 ; 0 ; 0 ; Yes ; 1 ; none
GPUBSplineTransform ; 1 ; 512 ; 9.53674e-07 ; 0.0130377 ; 7.31475e-05 ; 0 ; 0 ; Yes ; 1 ; none
GPUBSplineTransform ; 2 ; 256x256 ; 4.76837e-07 ; 0.0153844 ; 3.09948e-05 ; 0 ; 0 ; Yes ; 1 ; none
GPUBSplineTransform ; 3 ; 100x100x100 ; 7.15256e-07 ; 0.0183558 ; 3.89661e-05 ; 0 ; 0 ; Yes ; 1 ; none
GPUBSplineTransform ; 3 ; 115x157x129 ; 7.15256e-07 ; 0.0340834 ; 2.09855e-05 ; 0 ; 0 ; Yes ; 1 ; none
GPUBSplineTransform ; 3 ; 256x256x256 ; 1.19209e-06 ; 0.0184455 ; 6.46279e-05 ; 0 ; 0 ; Yes ; 1 ; none
GPUBSplineTransform ; 3 ; 512x512x256 ; 1.90735e-06 ; 0.0192878 ; 9.88887e-05 ; 0 ; 0 ; Yes ; 1 ; none
ResampleImageFilter ; 1 ; 512 ; 0.000192881 ; 0.00989795 ; 0.0194869 ; 0 ; 0 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.000443697 ; 0.0102985 ; 0.0430837 ; 0 ; 0 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.00477839 ; 0.013756 ; 0.347366 ; 28.0555 ; 0.0302089 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.0104797 ; 0.0319967 ; 0.327524 ; 0 ; 0 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 0.0468178 ; 0.0289817 ; 1.61543 ; 13.8834 ; 0.0145857 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 0.0996444 ; 0.0973258 ; 1.02382 ; 0 ; 0 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 1 ; 512 ; 0.000178099 ; 0.018645 ; 0.00955206 ; 0.0658665 ; 0.00414394 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.00073266 ; 0.0223634 ; 0.0327615 ; 0.133302 ; 0.00277037 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.00952673 ; 0.0130339 ; 0.730921 ; 0.0910388 ; 9.83884e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.0217855 ; 0.0143106 ; 1.52233 ; 0.0176873 ; 2.5836e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 0.0659695 ; 0.029695 ; 2.22157 ; 0.0732821 ; 7.71515e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 0.177794 ; 0.0853217 ; 2.08381 ; 0.0391217 ; 6.00752e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 1 ; 512 ; 0.000359535 ; 0.192444 ; 0.00186826 ; 0.208288 ; 0.0130524 ; No ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.0120838 ; 0.180694 ; 0.0668741 ; 0.0699783 ; 0.00143463 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.109454 ; 0.181631 ; 0.602618 ; 0.134329 ; 0.000148156 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.222636 ; 0.188841 ; 1.17896 ; 0.0216329 ; 3.14999e-05 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 2.03984 ; 0.259651 ; 7.8561 ; 0.18512 ; 0.000197147 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 7.83082 ; 0.57148 ; 13.7027 ; 0.0439711 ; 6.63103e-05 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : TranslationTransform
ResampleImageFilter ; 1 ; 512 ; 0.000225782 ; 0.017894 ; 0.0126178 ; 0 ; 0 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.000425577 ; 0.00985479 ; 0.0431848 ; 1.20003 ; 0.0244078 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.00508952 ; 0.0135143 ; 0.376603 ; 0.550852 ; 0.000592068 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.0101559 ; 0.0136354 ; 0.74482 ; 0.225301 ; 0.000329287 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 0.047272 ; 0.0289519 ; 1.63278 ; 0.694921 ; 0.000732961 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 0.11029 ; 0.0799739 ; 1.37907 ; 0.563945 ; 0.000890582 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : AffineTransform
